"DateTime";"Stock Price History"
"2000-09-01 00:00:00";0,3042
"2000-09-05 00:00:00";0,3047
"2000-09-06 00:00:00";0,2836
"2000-09-07 00:00:00";0,2989
"2000-09-08 00:00:00";0,2812
"2000-09-11 00:00:00";0,2697
"2000-09-12 00:00:00";0,268
"2000-09-13 00:00:00";0,2679
"2000-09-14 00:00:00";0,2654
"2000-09-15 00:00:00";0,2712
"2000-09-18 00:00:00";0,2554
"2000-09-19 00:00:00";0,2633
"2000-09-20 00:00:00";0,2547
"2000-09-21 00:00:00";0,2656
"2000-09-22 00:00:00";0,2702
"2000-09-25 00:00:00";0,2896
"2000-09-26 00:00:00";0,2965
"2000-09-27 00:00:00";0,3128
"2000-09-28 00:00:00";0,3223
"2000-09-29 00:00:00";0,3133
"2000-10-02 00:00:00";0,3058
"2000-10-03 00:00:00";0,2894
"2000-10-04 00:00:00";0,286
"2000-10-05 00:00:00";0,2793
"2000-10-06 00:00:00";0,2618
"2000-10-09 00:00:00";0,2676
"2000-10-10 00:00:00";0,2473
"2000-10-11 00:00:00";0,2494
"2000-10-12 00:00:00";0,2396
"2000-10-13 00:00:00";0,2492
"2000-10-16 00:00:00";0,2434
"2000-10-17 00:00:00";0,2257
"2000-10-18 00:00:00";0,2221
"2000-10-19 00:00:00";0,2437
"2000-10-20 00:00:00";0,2664
"2000-10-23 00:00:00";0,2604
"2000-10-24 00:00:00";0,252
"2000-10-25 00:00:00";0,2301
"2000-10-26 00:00:00";0,2398
"2000-10-27 00:00:00";0,2343
"2000-10-30 00:00:00";0,2178
"2000-10-31 00:00:00";0,2377
"2000-11-01 00:00:00";0,2377
"2000-11-02 00:00:00";0,2559
"2000-11-03 00:00:00";0,2726
"2000-11-06 00:00:00";0,2936
"2000-11-07 00:00:00";0,2738
"2000-11-08 00:00:00";0,2657
"2000-11-09 00:00:00";0,2379
"2000-11-10 00:00:00";0,225
"2000-11-13 00:00:00";0,226
"2000-11-14 00:00:00";0,2674
"2000-11-15 00:00:00";0,2638
"2000-11-16 00:00:00";0,2473
"2000-11-17 00:00:00";0,2425
"2000-11-20 00:00:00";0,2238
"2000-11-21 00:00:00";0,2195
"2000-11-22 00:00:00";0,2081
"2000-11-24 00:00:00";0,22
"2000-11-27 00:00:00";0,2126
"2000-11-28 00:00:00";0,1967
"2000-11-29 00:00:00";0,1846
"2000-11-30 00:00:00";0,1549
"2000-12-01 00:00:00";0,1703
"2000-12-04 00:00:00";0,1729
"2000-12-05 00:00:00";0,1841
"2000-12-06 00:00:00";0,1578
"2000-12-07 00:00:00";0,1549
"2000-12-08 00:00:00";0,1903
"2000-12-11 00:00:00";0,1903
"2000-12-12 00:00:00";0,1851
"2000-12-13 00:00:00";0,1707
"2000-12-14 00:00:00";0,159
"2000-12-15 00:00:00";0,1432
"2000-12-18 00:00:00";0,1479
"2000-12-19 00:00:00";0,1368
"2000-12-20 00:00:00";0,122
"2000-12-21 00:00:00";0,1067
"2000-12-22 00:00:00";0,1341
"2000-12-26 00:00:00";0,1287
"2000-12-27 00:00:00";0,1373
"2000-12-28 00:00:00";0,138
"2000-12-29 00:00:00";0,1254
"2001-01-02 00:00:00";0,1145
"2001-01-03 00:00:00";0,1497
"2001-01-04 00:00:00";0,1669
"2001-01-05 00:00:00";0,1419
"2001-01-08 00:00:00";0,1554
"2001-01-09 00:00:00";0,1585
